x,y
5.090886429905784780e+02,-4.458964020034846598e+00
5.090970244481443956e+02,-4.458920775876001663e+00
5.091054059073011331e+02,-4.458877841156668964e+00
5.091137873680317512e+02,-4.458835214812597592e+00
5.091221688303196515e+02,-4.458792895786064747e+00
5.091305502941484065e+02,-4.458750883019512834e+00
5.091389317595012471e+02,-4.458709175455425111e+00
5.091473132263620300e+02,-4.458667772041122745e+00
5.091556946947144979e+02,-4.458626671733338931e+00
5.091640761645429052e+02,-4.458585873489887774e+00
5.091724576358310514e+02,-4.458545376268583382e+00
5.091808391085631342e+02,-4.458505179029003784e+00
5.091892205827236353e+02,-4.458465280740513847e+00
5.091976020582970364e+02,-4.458425680375844635e+00
5.092059835352679897e+02,-4.458386376907737869e+00
5.092143650136209203e+02,-4.458347369309289654e+00
5.092227464933408783e+02,-4.458308656560807215e+00
5.092311279744128001e+02,-4.458270237649267997e+00
5.092395094568219633e+02,-4.458232111561896360e+00
5.092478909405533045e+02,-4.458194277285929097e+00
5.092562724255921580e+02,-4.458156733812260519e+00
5.092646539119240856e+02,-4.458119480140810609e+00
5.092730353995347627e+02,-4.458082515272867141e+00
5.092814168884098081e+02,-4.458045838209719669e+00
5.092897983785347833e+02,-4.458009447953798166e+00
5.092981798698958187e+02,-4.457973343516116849e+00
5.093065613624789307e+02,-4.457937523911589928e+00
5.093149428562703633e+02,-4.457901988155155593e+00
5.093233243512561899e+02,-4.457866735261915458e+00
5.093317058474227679e+02,-4.457831764252652818e+00
5.093400873447566823e+02,-4.457797074155119610e+00
5.093484688432446319e+02,-4.457762663997495878e+00
5.093568503428732015e+02,-4.457728532807959887e+00
5.093652318436290898e+02,-4.457694679617137723e+00
5.093736133454992228e+02,-4.457661103464193530e+00
5.093819948484708675e+02,-4.457627803390153964e+00
5.093903763525311206e+02,-4.457594778436044791e+00
5.093987578576669080e+02,-4.457562027643506397e+00
5.094071393638658378e+02,-4.457529550061329005e+00
5.094155208711152341e+02,-4.457497344742922252e+00
5.094239023794028753e+02,-4.457465410741778378e+00
